,State,Abbreviation,County,avg_aqi,Pop_Estimate,Per capita personal income 2018
0,Alabama,AL,Baldwin,36.83,"218,022","45,596"
1,Alabama,AL,Clay,28.99,"13,275","33,530"
2,Alabama,AL,Colbert,35.64,"54,762","38,378"
3,Alabama,AL,DeKalb,36.72,"71,385","31,916"
4,Alabama,AL,Elmore,35.33,"81,887","42,269"
5,Alabama,AL,Etowah,42.91,"102,501","36,918"
6,Alabama,AL,Houston,35.73,"104,722","42,398"
7,Alabama,AL,Jefferson,53.77,"659,300","54,730"
8,Alabama,AL,Lawrence,25.65,"32,957","34,125"
9,Alabama,AL,Madison,41.77,"366,519","51,445"
10,Alabama,AL,Mobile,38.33,"413,757","38,243"
11,Alabama,AL,Montgomery,50.13,"225,763","43,688"
12,Alabama,AL,Morgan,38.52,"119,089","39,991"
13,Alabama,AL,Russell,39.73,"57,781","33,104"
14,Alabama,AL,Shelby,28.21,"215,707","54,369"
15,Alabama,AL,Sumter,28.48,"12,691","31,664"
16,Alabama,AL,Tuscaloosa,38.54,"208,911","38,822"
17,Arizona,AZ,Apache,14.4,"71,818","34,355"
18,Arizona,AZ,Cochise,46.23,"126,770","40,308"
19,Arizona,AZ,Coconino,51.67,"142,854","48,129"
20,Arizona,AZ,Gila,75.02,"53,889","40,267"
21,Arizona,AZ,La Paz,47.89,"21,098","30,948"
22,Arizona,AZ,Maricopa,76.82,"4,410,824","47,694"
23,Arizona,AZ,Mohave,18.66,"209,550","33,148"
24,Arizona,AZ,Navajo,47.97,"110,445","32,165"
25,Arizona,AZ,Pima,55.18,"1,039,073","44,028"
26,Arizona,AZ,Pinal,82.53,"447,138","30,644"
27,Arizona,AZ,Santa Cruz,35.7,"46,511","39,057"
28,Arizona,AZ,Yavapai,45.1,"231,993","40,312"
29,Arizona,AZ,Yuma,51.41,"212,128","35,682"
30,Arkansas,AR,Arkansas,33.49,"3,013,825","43,233"
31,Arkansas,AR,Arkansas,33.49,"3,013,825","45,290"
32,Arkansas,AR,Arkansas,33.49,"17,769","43,233"
33,Arkansas,AR,Arkansas,33.49,"17,769","45,290"
34,Arkansas,AR,Ashley,32.55,"20,046","34,813"
35,Arkansas,AR,Clark,33.04,"22,061","36,314"
36,Arkansas,AR,Craighead,35.58,"108,558","37,531"
37,Arkansas,AR,Crittenden,42.02,"48,342","36,978"
38,Arkansas,AR,Garland,33.84,"99,154","40,004"
39,Arkansas,AR,Jackson,32.16,"16,811","35,880"
40,Arkansas,AR,Newton,36.84,"7,805","28,808"
41,Arkansas,AR,Polk,39.46,"20,049","30,751"
42,Arkansas,AR,Pulaski,44.85,"392,680","51,185"
43,Arkansas,AR,Union,39.67,"39,126","46,474"
44,Arkansas,AR,Washington,44.19,"236,961","40,247"
45,California,CA,Alameda,56.44,"1,666,753","76,644"
46,California,CA,Amador,43.42,"39,383","44,793"
47,California,CA,Butte,68.45,"231,256","44,346"
48,California,CA,Calaveras,58.34,"45,602","49,893"
49,California,CA,Colusa,52.62,"21,627","49,094"
50,California,CA,Contra Costa,53.96,"1,150,215","82,506"
51,California,CA,Del Norte,27.27,"27,828","37,268"
52,California,CA,El Dorado,57.98,"190,678","67,464"
53,California,CA,Fresno,80.74,"994,400","43,084"
54,California,CA,Glenn,43.22,"28,047","48,613"
55,California,CA,Humboldt,37.24,"136,373","48,739"
56,California,CA,Imperial,69.82,"181,827","36,974"
57,California,CA,Inyo,61.65,"17,987","61,358"
58,California,CA,Kern,89.56,"896,764","39,703"
59,California,CA,Kings,73.99,"151,366","35,306"
60,California,CA,Lake,34.51,"64,382","43,185"
61,California,CA,Los Angeles,85.42,"10,105,518","62,224"
62,California,CA,Madera,62.43,"157,672","39,897"
63,California,CA,Marin,42.81,"259,666","134,275"
64,California,CA,Mariposa,65.76,"17,471","53,143"
65,California,CA,Mendocino,45.34,"87,606","50,150"
66,California,CA,Merced,61.52,"274,765","38,519"
67,California,CA,Mono,41.96,"14,250","51,325"
68,California,CA,Monterey,41.18,"435,594","56,193"
69,California,CA,Napa,45.22,"139,417","74,984"
70,California,CA,Nevada,54.27,"99,696","61,799"
71,California,CA,Orange,56.04,"3,185,968","69,268"
72,California,CA,Placer,66.78,"393,149","66,700"
73,California,CA,Plumas,43.68,"18,804","53,599"
74,California,CA,Riverside,93.89,"2,450,758","40,637"
75,California,CA,Sacramento,64.7,"1,540,975","52,544"
76,California,CA,San Benito,45.02,"61,537","53,822"
77,California,CA,San Bernardino,98.58,"2,171,603","40,316"
78,California,CA,San Diego,69.17,"3,343,364","61,386"
79,California,CA,San Francisco,44.3,"883,305","130,696"
80,California,CA,San Joaquin,63.9,"752,660","44,995"
81,California,CA,San Luis Obispo,52.69,"284,010","58,491"
